,Price (Cr),Location,Area (Marla),Bedrooms,Bathrooms
1329,0.48,2.511978787878788,2.0,1,1
1330,2.49,9.743124363636364,10.0,3,3
1331,2.46,9.743124363636364,10.0,3,3
1332,2.5,9.743124363636364,10.0,3,3
1333,4.8,4.157913669064748,10.0,5,5
1334,9.5,18.38326530612245,10.2,3,3
1335,58.0,55.45526315789474,46.0,6,6
1336,90.0,55.45526315789474,40.0,9,6
1337,45.0,52.91935483870968,40.0,6,6
1338,94.5,71.5,74.0,6,7
1339,9.95,9.743124363636364,20.0,6,6
1340,6.0,36.195757575757575,5.1,1,1
1341,3.4,3.583207547169811,7.0,5,5
1342,2.5,3.5698529411764706,7.0,5,5
1343,1.53,15.967727272727274,3.4,2,2
1344,2.65,4.080263157894737,5.0,5,5
1345,0.65,15.967727272727274,2.4,1,1
1346,1.3,4.157913669064748,6.3,2,2
1347,1.38,4.157913669064748,7.5,3,3
1348,2.7,2.58,8.0,5,5
1349,1.78,2.58,8.0,3,3
1350,7.25,4.195,12.0,6,6
1351,5.0,2.58,24.0,7,6
1352,1.5,1.9,5.0,5,5
1353,1.85,6.419117647058823,6.2,2,2
1354,11.5,9.743124363636364,20.0,5,6
1355,2.35,4.157913669064748,5.0,3,4
1356,0.65,3.583207547169811,2.9,2,2
1357,9.15,6.596428571428572,20.0,7,6
1358,8.75,4.642857142857143,8.0,5,6
1359,5.9,4.642857142857143,5.0,5,6
1360,0.22,4.157913669064748,2.4,1,1
1361,4.75,3.5698529411764706,10.9,6,6
1362,16.5,7.064183673469388,20.0,6,6
1363,12.25,9.743124363636364,20.0,6,6
1364,2.35,2.511978787878788,5.0,4,6
1365,3.3,3.5749999999999997,8.0,4,4
1366,1.35,4.157913669064748,7.5,3,3
1367,16.0,16.0,46.0,5,6
1368,1.1,2.58,5.6,2,3
1369,5.75,10.208433734939758,5.0,4,4
1370,7.1,7.064183673469388,8.0,4,5
1371,4.6,15.18939393939394,11.6,4,4
1372,3.7,2.511978787878788,8.0,5,6
1373,1.25,9.743124363636364,26.0,3,1
1374,14.75,9.743124363636364,20.0,5,5
1375,13.5,9.743124363636364,20.0,5,5
1376,4.9,7.064183673469388,4.0,4,4
1377,7.0,8.066666666666666,6.7,5,6
1378,3.4,2.308888888888889,8.0,5,5
1379,2.7,2.5811111111111114,5.0,5,5
1380,7.75,9.743124363636364,20.0,6,6
1381,2.79,9.743124363636364,6.0,2,3
1382,1.8,1.8,5.0,4,4
